datetime,slackbus_voltage,demand_mainbus,demand_broad,demand_schlinger,demand_resnick,demand_beckman,demand_braun,rtp,temp,feelslike,humidity,windspeed,solarradiation
2024-10-23T4,"[1198.55, -738.73, -1274.06, -679.52, 75.51, 1418.25]","[328962.25, 203618.56, 342406.75, 192810.39]","[-121044.09, -69725.66, -124232.56, -72967.37, -121919.41, -68166.05]","[-106635.15, -40381.64, -114889.85, -34641.79, -116469.84, -39346.95]","[-10610.54, 1999.6, -7123.28, 2278.24, -8887.91, 5526.17]","[-58541.75, -49263.53, -61001.56, -43363.04, -66395.34, -45297.99]","[-31427.22, -45452.86, -34483.31, -43352.77, -36464.01, -45156.65]",4.67e-05,67.9,67.9,91.59,1.5,0
2024-10-23T5,"[1200.24, -730.64, -1220.72, -695.31, 20.47, 1425.95]","[336762.12, 182216.7, 332688.22, 180934.89, 345909.62, 183627.5]","[-125539.5, -66360.16, -121633.11, -70239.2, -123910.46, -66994.75]","[-108979.69, -33699.18, -108750.7, -35543.81, -110527.25, -35492.79]","[-11194.46, 1025.44, -5157.66, -431.99, -7149.05, 5583.7]","[-60200.59, -43527.24, -64979.98, -40199.53, -67371.91, -47318.96]","[-30178.41, -38899.49, -31510.31, -33778.98, -36243.42, -38605.64]",4.66e-05,67.6,67.6,90.65,1.5,0
2024-10-23T6,"[1230.58, -710.68, -1229.31, -714.54, -1.28, 1425.22]","[328150.4, 186249.9, 326753.1, 183719.2, 331561.66, 184416.42]","[-120809.88, -70264.9, -121714.34, -71607.77, -120808.78, -71973.4]","[-103839.21, -34453.78, -107483.6, -36424.07, -104548.97, -38667.2]","[-11544.08, 1448.59, -5274.84, -354.78, -6886.99, 5998.01]","[-59134.68, -43414.89, -61059.72, -37437.94, -65642.12, -42232.51]","[-32185.16, -38845.11, -30605.27, -37199.73, -33031.34, -36814.64]",4.37e-05,66.5,66.5,91.19,1.5,0
2024-10-23T7,"[1204.89, -738.13, -1225.5, -692.92, 20.61, 1431.05]","[330854.88, 177803.36, 326409.06, 177685.58, 337349.44, 181239.89]","[-123165.97, -66418.25, -120980.62, -68692.67, -123276.05, -68428.96]","[-106150.91, -29742.8, -108667.54, -35300.01, -105522.63, -36361.18]","[-11652.26, 1488.36, -6115.46, -42.14, -7823.83, 5532.54]","[-59503.14, -44200.91, -60799.81, -39189.7, -66046.19, -44452.85]","[-29747.44, -38212.45, -29224.67, -33759.79, -34025.74, -36789.77]",4.53e-05,67.3,67.3,94.04,1.2,0
2024-10-23T8,"[1205.23, -736.39, -1224.41, -694.09, 19.18, 1430.48]","[328033.12, 176521.89, 322442.6, 174926.19, 335174.2, 178016.73]","[-122519.13, -65545.59, -120448.16, -68479.43, -122100.73, -67919.46]","[-106833.09, -31214.8, -107223.99, -34887.21, -106776.95, -35003.81]","[-11458.11, 1130.93, -5419.77, -415.36, -7348.59, 5600.57]","[-57389.36, -42210.14, -59924.53, -37342.54, -64397.57, -43522.24]","[-29210.83, -37979.13, -28827.16, -33125.2, -33907.39, -36445.68]",3.93e-05,69.0,69.0,92.74,4.0,20
2024-10-23T9,"[1202.7, -741.56, -1227.73, -691.15, 24.51, 1432.87]","[331994.4, 184987.05, 328670.47, 178279.27, 345643.6, 186240.39]","[-126009.38, -68841.92, -123778.05, -71661.27, -125990.36, -71182.24]","[-106532.43, -34225.16, -109348.43, -32756.73, -112431.49, -37568.98]","[-9467.98, 1948.07, -6073.69, 1335.47, -7492.92, 4623.98]","[-60814.62, -45089.61, -58890.6, -40476.42, -65547.82, -42755.29]","[-28529.26, -38054.81, -29966.94, -34028.32, -33498.02, -38586.57]",3.88e-05,72.6,72.6,89.15,3.7,59
2024-10-23T10,"[1203.92, -740.64, -1221.1, -688.82, 17.17, 1429.46]","[330146.25, 176387.98, 319974.9, 178778.31, 330597.72, 178862.42]","[-124858.5, -65924.38, -120976.62, -69694.74, -122495.09, -68272.51]","[-106684.66, -30299.24, -107447.94, -35579.03, -105318.12, -36142.61]","[-9712.58, 1501.79, -4684.03, 106.85]","[-58750.57, -43322.64, -57696.98, -39266.2, -63005.92, -42505.65]","[-29518.77, -37642.01, -28572.71, -33671.41, -32922.23, -36371.23]",3.5e-05,77.4,77.4,76.46,4.5,440
2024-10-23T11,"[1201.03, -734.58, -1220.69, -692.11, 19.66, 1426.69]","[326503.34, 176973.44, 340519.53, 176922.72]","[-131235.89, -65962.55, -129105.87, -69007.02, -131091.25, -68423.3]","[-104446.98, -30036.11, -105498.37, -34048.96, -104487.31, -34521.29]","[-4661.89, 85.95, -6163.42, 5143.19]","[-60337.87, -44830.03, -58547.28, -39530.36, -65660.88, -42236.94]","[-28971.62, -37555.91, -28101.54, -33808.56, -32488.06, -36174.48]",3.51e-05,81.4,83.5,59.63,0.2,620
2024-10-23T12,"[1204.05, -741.59, -1227.75, -691.42, 23.7, 1433.02]","[331078.25, 181344.19, 327623.1, 177988.72, 341335.1, 184258.5]","[-125151.74, -67085.12, -121415.59, -70878.94, -123346.79, -68609.7]","[-105582.67, -32726.89, -109270.19, -31895.07, -111248.84, -37192.32]","[-9659.73, 1650.46, -4919.99, 280.26, -6329.62, 5098.7]","[-61829.75, -44945.48, -62890.84, -41027.64, -67434.23, -45622.3]","[-28219.37, -37520.05, -28505.13, -33765.62, -32297.6, -37167.18]",3.82e-05,83.9,85.6,52.84,2.8,646
2024-10-23T13,"[1213.84, -739.4, -1231.37, -700.5, 17.53, 1439.91]","[332208.5, 186441.38, 326824.56, 186492.33, 338243.94, 189203.62]","[-125017.35, -69467.5, -122042.38, -72405.96, -124245.15, -71153.2]","[-105096.34, -31033.46, -106462.3, -34703.25, -105535.79, -35634.73]","[-11226.91, 1604.13, -6077.49, 157.08, -7658.21, 5363.6]","[-60962.22, -44964.34, -62461.65, -41278.74, -66526.05, -46069.28]","[-29263.9, -41855.42, -29154.77, -37554.53, -33617.27, -40962.96]",3.6e-05,84.2,85.1,48.61,2.5,649
